date,description,amount,type,balance,raw
2025-03-19,ALOE MIND PETALING JAYAMY,-220.0,debit,,21 MAR 19 MAR ALOE MIND PETALING JAYAMY 220.00
2025-03-20,UNLIMITED CASH REBATE,5.0,credit,,21 MAR 20 MAR UNLIMITED CASH REBATE 5.00CR
2025-03-20,CASH REBATE,11.0,credit,,21 MAR 20 MAR CASH REBATE 11.00CR
2025-03-20,LAZADA KUALA LUMPUR,-170.68,debit,,22 MAR 20 MAR LAZADA KUALA LUMPUR MY 170.68
2025-03-22,BREW & BREAD-TMN DESA KUALA LUMP,-85.8,debit,,24 MAR 22 MAR BREW & BREAD-TMN DESA KUALA LUMP MY 85.80
2025-03-22,NSK GROCER-3 DAMANSARA PETALING JAY,-51.7,debit,,24 MAR 22 MAR NSK GROCER-3 DAMANSARA PETALING JAY 51.70
2025-03-22,ORIENTAL MART-3 DAMANS PETALING JAY,-53.15,debit,,24 MAR 22 MAR ORIENTAL MART-3 DAMANS PETALING JAY 53.15
2025-03-24,HAI KAH LANG-SRI PETALINGKUALA L,-50.6,debit,,24 MAR 24 MAR HAI KAH LANG-SRI PETALINGKUALA L MY 50.60
2025-03-24,WATSON'S SRI PETALING KUALA LUMP,-8.45,debit,,26 MAR 24 MAR WATSON'S SRI PETALING KUALA LUMP MY 8.45
2025-03-24,LAZADA KUALA LUMPUR,-56.05,debit,,26 MAR 24 MAR LAZADA KUALA LUMPUR MY 56.05
2025-03-24,LAZADA KUALA LUMPUR,-62.14,debit,,26 MAR 24 MAR LAZADA KUALA LUMPUR MY 62.14
2025-03-26,ENCORE TMN DESA KUALA LUMPUR,-30.0,debit,,28 MAR 26 MAR ENCORE TMN DESA KUALA LUMPUR MY 30.00
2025-03-26,LAZADA KUALA LUMPUR,62.14,credit,,28 MAR 26 MAR LAZADA KUALA LUMPUR MY 62.14CR
2025-03-27,BAIWEI MINIBOWL SDN BH KEDAH,-37.5,debit,,29 MAR 27 MAR BAIWEI MINIBOWL SDN BH KEDAH MY 37.50
2025-03-27,DE MARKET KUALA LUMPUR,-11.0,debit,,29 MAR 27 MAR DE MARKET KUALA LUMPUR MY 11.00
2025-03-27,MR DIY SB-FAB KUALA LUMPUR,-11.85,debit,,29 MAR 27 MAR MR DIY SB-FAB KUALA LUMPUR MY 11.85
2025-03-27,MYCU RETAIL-RADIN BAGU KUALA LUM,-6.3,debit,,29 MAR 27 MAR MYCU RETAIL-RADIN BAGU KUALA LUM MY 6.30
2025-03-27,LAZADA KUALA LUMPUR,-66.69,debit,,29 MAR 27 MAR LAZADA KUALA LUMPUR MY 66.69
