date,description,amount,type,balance,raw
2025-08-08,JAYA GROCER-PEARL SHOP KUALA LUMPUR MY,-78.6,debit,,8 AUG 07 AUG JAYA GROCER-PEARL SHOP KUALA LUMPUR MY 78.60
2025-08-10,MCDONALD'S-SHELL TMN D KUALA LUMPUR MY,-24.6,debit,,10 AUG 08 AUG MCDONALD'S-SHELL TMN D KUALA LUMPUR MY 24.60
2025-08-10,NSK-KUCHAI LAMA KUALA LUMPUR MY,-51.95,debit,,10 AUG 09 AUG NSK-KUCHAI LAMA KUALA LUMPUR MY 51.95
2025-08-10,SAUSAGE & RIBS SHACK KUALA LUMPUR MY,-242.45,debit,,10 AUG 09 AUG SAUSAGE & RIBS SHACK KUALA LUMPUR MY 242.45
2025-08-11,DE MARKET KUALA LUMPUR MY,-283.1,debit,,11 AUG 10 AUG DE MARKET KUALA LUMPUR MY 283.10
2025-08-11,HONG FU DIM SUM KUALA LUMPUR MY,-70.75,debit,,11 AUG 10 AUG HONG FU DIM SUM KUALA LUMPUR MY 70.75
2025-08-11,NSK GROCER-3 DAMANSARA PETALING JAYA MY,-137.45,debit,,11 AUG 10 AUG NSK GROCER-3 DAMANSARA PETALING JAYA MY 137.45
2025-08-11,LAZADA KUALA LUMPUR MY,-26.83,debit,,11 AUG 10 AUG LAZADA KUALA LUMPUR MY 26.83
2025-08-12,LAZADA KUALA LUMPUR MY Your charge(s) for this month RM930.84,-15.11,debit,,12 AUG 10 AUG LAZADA KUALA LUMPUR MY 15.11 Your charge(s) for this month RM930.84
2025-08-05,SERVICE TAX ***Please forward your payment by 01 SEP 2025. Thank You. Bb 4Y43b4800001L73774b DOO00K0U5584 OOOO007500,-25.0,debit,,5 AUG 05 AUG SERVICE TAX 25.00 ***Please forward your payment by 01 SEP 2025. Thank You. Bb 4Y43b4800001L73774b DOO00K0U5584 OOOO007500
