date,description,amount,type,balance,raw
2025-07-29,CARDSERVICETAX,-25.0,debit,,[6688] 29Jul 29Jul CARDSERVICETAX 25.00
2025-08-05,SHELL1012-JLNKLANGLAMAKUALALUMPURMY,-71.03,debit,,[6688] 07Aug 05Aug SHELL1012-JLNKLANGLAMAKUALALUMPURMY 71.03
2025-08-10,PAYMENTVIADUITNOW 0907,96.03,credit,,[6688] 10Aug 10Aug PAYMENTVIADUITNOW 0907 96.03CR
2025-07-29,CARDSERVICETAX,-25.0,debit,,[4033] 29Jul 29Jul CARDSERVICETAX 25.00
2025-08-01,GUARDIANPEARLPOINTS KUALALUMPURMY,-28.15,debit,,[4033] 02Aug 01Aug GUARDIANPEARLPOINTS KUALALUMPURMY 28.15
2025-08-02,GRABPAY-EC PETALINGJAYAMY,-101.0,debit,,[4033] 03Aug 02Aug GRABPAY-EC PETALINGJAYAMY 101.00
2025-08-05,GRABRIDES-EC PETALINGJAYAMY,-9.0,debit,,[4033] 06Aug 05Aug GRABRIDES-EC PETALINGJAYAMY 9.00
2025-08-05,GRABRIDES-EC PETALINGJAYAMY,-10.0,debit,,[4033] 06Aug 05Aug GRABRIDES-EC PETALINGJAYAMY 10.00
2025-08-05,GRABRIDES-EC PETALINGJAYAMY,-3.0,debit,,[4033] 06Aug 05Aug GRABRIDES-EC PETALINGJAYAMY 3.00
2025-08-07,GRAB-EC PETALINGJAYAMY,-20.07,debit,,[4033] 08Aug 07Aug GRAB-EC PETALINGJAYAMY 20.07
2025-08-10,PAYMENTVIADUITNOW 0907,196.22,credit,,[4033] 10Aug 10Aug PAYMENTVIADUITNOW 0907 196.22CR
2025-08-10,GRAB-EC PETALINGJAYAMY,-23.7,debit,,[4033] 11Aug 10Aug GRAB-EC PETALINGJAYAMY 23.70
2025-08-11,GRAB-EC PETALINGJAYAMY,-21.97,debit,,[4033] 12Aug 11Aug GRAB-EC PETALINGJAYAMY 21.97
2025-08-14,GRAB-EC PETALINGJAYAMY,-22.3,debit,,[4033] 15Aug 14Aug GRAB-EC PETALINGJAYAMY 22.30
2025-08-16,GRABRIDES-EC PETALINGJAYAMY,-7.0,debit,,[4033] 17Aug 16Aug GRABRIDES-EC PETALINGJAYAMY 7.00
2025-08-16,GRABRIDES-EC PETALINGJAYAMY,-9.0,debit,,[4033] 17Aug 16Aug GRABRIDES-EC PETALINGJAYAMY 9.00
2025-08-18,GRAB-EC PETALINGJAYAMY,-22.7,debit,,[4033] 19Aug 18Aug GRAB-EC PETALINGJAYAMY 22.70
2025-08-19,GRABRIDES-EC PETALINGJAYAMY,-3.0,debit,,[4033] 20Aug 19Aug GRABRIDES-EC PETALINGJAYAMY 3.00
2025-08-19,GRABRIDES-EC PETALINGJAYAMY,-3.5,debit,,[4033] 20Aug 19Aug GRABRIDES-EC PETALINGJAYAMY 3.50
2025-08-19,GRABRIDES-EC PETALINGJAYAMY,-14.0,debit,,[4033] 20Aug 19Aug GRABRIDES-EC PETALINGJAYAMY 14.00
2025-08-19,GRABRIDES-EC PETALINGJAYAMY,-17.0,debit,,[4033] 20Aug 19Aug GRABRIDES-EC PETALINGJAYAMY 17.00
2025-08-19,GRAB-EC PETALINGJAYAMY,-23.7,debit,,[4033] 20Aug 19Aug GRAB-EC PETALINGJAYAMY 23.70
2025-08-22,CASHBACKONLINE,0.26,credit,,[4033] 22Aug 22Aug CASHBACKONLINE 0.26CR
2025-08-22,CASHBACKOTHERS,0.4,credit,,[4033] 22Aug 22Aug CASHBACKOTHERS 0.40CR
