date,description,amount,type,balance,raw
2026-05-29,EPP CONVERSION,5000.0,credit,,"29 MAY EPP CONVERSION 5,000.00 CR"
2026-06-01,PAYMENT REC'D WITH THANKS-DUITNOW,408.33,credit,,01 JUN PAYMENT REC'D WITH THANKS-DUITNOW 408.33 CR
2026-06-01,PAYMENT REC'D WITH THANKS-DUITNOW,450.0,credit,,01 JUN PAYMENT REC'D WITH THANKS-DUITNOW 450.00 CR
2026-06-02,PAYMENT REC'D WITH THANKS-DUITNOW,670.0,credit,,02 JUN PAYMENT REC'D WITH THANKS-DUITNOW 670.00 CR
2026-06-16,CASH REBATE OTHERS,10.27,credit,,16 JUN CASH REBATE OTHERS 10.27 CR
2026-05-27,52 THAI REFLEXOLOGY KUALA LUMPUR MY,-135.0,debit,,27 MAY 52 THAI REFLEXOLOGY KUALA LUMPUR MY 135.00
2026-05-27,KEJ FISH WORLD KUALA LUMPUR MY,-5000.0,debit,,"27 MAY KEJ FISH WORLD KUALA LUMPUR MY 5,000.00"
2026-05-29,UOB PL-EPP INSTALMENT 01/12,-416.67,debit,,29 MAY UOB PL-EPP INSTALMENT 01/12 416.67
2026-06-03,UOB PL-EPP INSTALMENT 03/12,-450.0,debit,,03 JUN UOB PL-EPP INSTALMENT 03/12 450.00
2026-06-12,LEGEND HOME APPLIANCES 03/24,-637.21,debit,,12 JUN LEGEND HOME APPLIANCES 03/24 637.21
2026-06-15,ONE LIVING-40SP (24MTH) 04/24,-262.5,debit,,15 JUN ONE LIVING-40SP (24MTH) 04/24 262.50
